image_idx,psnr,ssim,lpips
0,22.587738037109375,0.9211435914039612,0.27073368430137634
1,19.804258346557617,0.8691231608390808,0.35730069875717163
2,17.398521423339844,0.8446250557899475,0.2996867299079895
3,17.05354118347168,0.8359320759773254,0.3767581582069397
4,18.22930145263672,0.8538294434547424,0.3740242123603821
5,20.594236373901367,0.9035453796386719,0.2716436982154846
6,19.917652130126953,0.911677896976471,0.24229907989501953
7,22.886276245117188,0.9139842987060547,0.3929169774055481
8,26.975887298583984,0.9580455422401428,0.15429472923278809
9,21.56332778930664,0.9232272505760193,0.23202365636825562
10,19.82661247253418,0.9156667590141296,0.1953883022069931
11,14.727523803710938,0.6300876140594482,0.4612846374511719
12,13.900598526000977,0.6528342366218567,0.43908390402793884
13,14.028007507324219,0.6907876133918762,0.42232614755630493
14,15.246480941772461,0.7037580609321594,0.44608843326568604
15,16.101789474487305,0.6623592376708984,0.44750136137008667
16,19.35346031188965,0.7540555000305176,0.42137598991394043
17,20.302705764770508,0.8391270637512207,0.35297197103500366
18,19.134584426879883,0.8018681406974792,0.40625032782554626
19,18.811668395996094,0.849855899810791,0.359108567237854
20,17.815107345581055,0.8218360543251038,0.36793598532676697
21,18.105867385864258,0.8418403267860413,0.3617781698703766
22,15.379746437072754,0.7661756873130798,0.3425367474555969
23,15.536138534545898,0.75699782371521,0.3414512872695923
24,17.54155731201172,0.8262740969657898,0.34537822008132935
25,21.488622665405273,0.8942897915840149,0.2761455476284027
26,18.71639060974121,0.8423333168029785,0.3444727957248688
27,19.50648307800293,0.8798084259033203,0.36069726943969727
28,14.592330932617188,0.7710272669792175,0.41533035039901733
29,14.202024459838867,0.7832155227661133,0.3682849407196045
30,16.409143447875977,0.8370800018310547,0.33407363295555115
31,19.162939071655273,0.8725736737251282,0.33185404539108276
32,22.9445743560791,0.923954963684082,0.22668783366680145
33,16.73685646057129,0.758786678314209,0.3284943401813507
34,17.954641342163086,0.7831985950469971,0.31977856159210205
35,19.962127685546875,0.8409411311149597,0.29719096422195435
36,16.731908798217773,0.774912416934967,0.3191097378730774
37,16.840967178344727,0.7922685742378235,0.31560614705085754
38,15.454505920410156,0.7184839844703674,0.3918958902359009
39,14.25435733795166,0.6701410412788391,0.4044254720211029
40,15.423816680908203,0.7475840449333191,0.37170037627220154
41,17.41329002380371,0.7511982321739197,0.42449408769607544
42,21.684083938598633,0.771977424621582,0.387238085269928
43,16.620502471923828,0.7147793173789978,0.4326082468032837
44,22.714933395385742,0.9189627766609192,0.29523831605911255
45,19.590543746948242,0.8932091593742371,0.32883235812187195
46,17.575725555419922,0.8509976267814636,0.34696030616760254
47,16.76885414123535,0.8246834874153137,0.37111493945121765
48,18.142459869384766,0.8752414584159851,0.3323644995689392
49,16.423669815063477,0.8066183924674988,0.3248209059238434
50,16.13998794555664,0.7842676043510437,0.34246939420700073
51,18.693214416503906,0.8600576519966125,0.3163084387779236
52,22.405227661132812,0.9066129326820374,0.2666469216346741
53,19.410017013549805,0.8667020201683044,0.301044225692749
54,16.41455078125,0.6973783373832703,0.44789764285087585
55,14.493896484375,0.7170997262001038,0.41157492995262146
56,14.158090591430664,0.7330277562141418,0.3920181393623352
57,16.2578067779541,0.8050300478935242,0.3798988461494446
58,15.381675720214844,0.6431964039802551,0.4628058075904846
59,20.746726989746094,0.7888593077659607,0.41270750761032104
60,15.296652793884277,0.6811921000480652,0.4616568088531494
61,20.93773078918457,0.7854250073432922,0.399566650390625
62,16.424955368041992,0.7246005535125732,0.42726895213127136
63,16.778671264648438,0.748738706111908,0.4058429002761841
64,17.193634033203125,0.7953436374664307,0.380175918340683
65,15.186595916748047,0.74117511510849,0.3520991802215576
