image_idx,psnr,ssim,lpips
0,12.938544273376465,0.23831696808338165,0.5492234230041504
1,13.031278610229492,0.2417657971382141,0.5384513139724731
2,13.263537406921387,0.2520563006401062,0.5101765990257263
3,12.867364883422852,0.24147135019302368,0.5436880588531494
4,12.887710571289062,0.24091701209545135,0.5354570746421814
5,12.981124877929688,0.23463599383831024,0.5174410939216614
6,13.137784957885742,0.24220101535320282,0.4891059696674347
7,13.054441452026367,0.24109609425067902,0.5029650926589966
8,12.867429733276367,0.238686203956604,0.5211899280548096
9,12.87540054321289,0.24283593893051147,0.5202935934066772
10,13.202906608581543,0.27576664090156555,0.48771175742149353
11,13.09082317352295,0.2573173940181732,0.47560954093933105
12,13.039923667907715,0.2571057081222534,0.4722772240638733
13,12.911612510681152,0.252091646194458,0.4907466471195221
14,12.912993431091309,0.27087458968162537,0.4839363098144531
15,12.965959548950195,0.254781574010849,0.4771011471748352
16,13.29123306274414,0.27178046107292175,0.4438292384147644
17,12.919506072998047,0.26299771666526794,0.48922020196914673
18,12.831257820129395,0.2613730728626251,0.49679887294769287
19,13.044477462768555,0.2564644515514374,0.46504420042037964
20,13.141124725341797,0.2599430978298187,0.45489415526390076
21,13.250043869018555,0.26389843225479126,0.445837140083313
22,12.867253303527832,0.2524447441101074,0.484323650598526
23,12.977370262145996,0.2615512013435364,0.47583597898483276
24,13.086470603942871,0.2490728497505188,0.46743378043174744
25,12.89891529083252,0.23923198878765106,0.48504364490509033
26,13.139673233032227,0.251938134431839,0.4642423987388611
27,13.223711967468262,0.25377872586250305,0.45060667395591736
28,12.816262245178223,0.24551378190517426,0.4785531759262085
29,12.707905769348145,0.24254222214221954,0.49220898747444153
30,12.761988639831543,0.24141542613506317,0.4896744191646576
31,12.985966682434082,0.24567435681819916,0.4741702973842621
32,12.954867362976074,0.24298244714736938,0.49123919010162354
33,12.910907745361328,0.2410566359758377,0.5028114318847656
34,12.869702339172363,0.24291622638702393,0.5046049356460571
35,12.88191032409668,0.24638782441616058,0.5082893967628479
36,12.837651252746582,0.2414012998342514,0.5036919713020325
37,12.86963939666748,0.24672316014766693,0.4935856759548187
38,12.796646118164062,0.2465413361787796,0.4923286736011505
39,12.667003631591797,0.24467216432094574,0.49925968050956726
40,13.165088653564453,0.27630993723869324,0.4531092643737793
41,12.731504440307617,0.24789662659168243,0.5022928714752197
42,12.643749237060547,0.24335384368896484,0.5287319421768188
43,12.756815910339355,0.24408231675624847,0.5164390802383423
44,12.801915168762207,0.2473270297050476,0.5189006328582764
45,12.72765827178955,0.23892910778522491,0.5357487201690674
46,13.677874565124512,0.3033638894557953,0.45296943187713623
47,12.667366027832031,0.23801882565021515,0.5130805969238281
48,12.382453918457031,0.22469209134578705,0.5440186858177185
49,12.334229469299316,0.23106719553470612,0.5393646955490112
50,12.386807441711426,0.24763639271259308,0.5321688055992126
51,12.41358470916748,0.2518698573112488,0.5389461517333984
52,12.877792358398438,0.27660509943962097,0.4917275905609131
53,12.53406810760498,0.26022836565971375,0.531990110874176
54,12.690007209777832,0.2777159512042999,0.5280224680900574
55,12.82319450378418,0.279693603515625,0.5321562886238098
56,13.163002014160156,0.2880499064922333,0.5553179383277893
57,13.358758926391602,0.2983097732067108,0.5455057621002197
58,13.540709495544434,0.32701370120048523,0.5205915570259094
59,13.379593849182129,0.3211067318916321,0.5359756946563721
60,13.4379243850708,0.319577693939209,0.5505256652832031
61,13.494856834411621,0.30801668763160706,0.5649422407150269
62,13.404303550720215,0.29778140783309937,0.5984511375427246
63,13.786375045776367,0.3143034279346466,0.601613461971283
64,13.797083854675293,0.3129449784755707,0.6226693391799927
65,13.424371719360352,0.3049980700016022,0.6999736428260803
66,13.962763786315918,0.3287639319896698,0.5936528444290161
67,13.985595703125,0.33345580101013184,0.5613502860069275
68,13.886995315551758,0.32090049982070923,0.5661410689353943
69,13.893205642700195,0.3272300362586975,0.5593408346176147
70,13.899877548217773,0.3355681896209717,0.5409268140792847
71,13.800418853759766,0.32774457335472107,0.5531654357910156
72,13.915231704711914,0.3353147506713867,0.5459352135658264
73,13.812334060668945,0.32663074135780334,0.5513967871665955
74,14.15648078918457,0.3451389968395233,0.516400933265686
75,13.599112510681152,0.30479419231414795,0.5318350791931152
76,13.516707420349121,0.3061303198337555,0.5331739187240601
77,13.590474128723145,0.30945226550102234,0.5166804194450378
78,13.643718719482422,0.2962985932826996,0.5186619162559509
79,13.641555786132812,0.2945863902568817,0.5222295522689819
80,13.37014389038086,0.2883897125720978,0.5435153841972351
81,13.318120002746582,0.27904966473579407,0.5404324531555176
82,13.409757614135742,0.27723613381385803,0.5684840083122253
83,13.433880805969238,0.2731102406978607,0.5786171555519104
84,13.524295806884766,0.2828613817691803,0.5080072283744812
85,13.55329418182373,0.28263577818870544,0.5022714734077454
86,13.421862602233887,0.27603471279144287,0.511513888835907
87,13.4456205368042,0.2688697278499603,0.5129569172859192
88,13.69854736328125,0.2881724536418915,0.48815739154815674
89,13.728652000427246,0.2735585570335388,0.4897855222225189
90,13.457586288452148,0.25515779852867126,0.5247259736061096
91,13.469135284423828,0.2604280412197113,0.5118098258972168
92,13.485777854919434,0.2614319324493408,0.509641170501709
93,13.570783615112305,0.26293426752090454,0.5004498958587646
94,13.901572227478027,0.2885302007198334,0.4674972891807556
95,13.702324867248535,0.2676963806152344,0.47937914729118347
96,13.519221305847168,0.25849172472953796,0.5291856527328491
97,13.451800346374512,0.2503848373889923,0.5644484162330627
98,13.447093963623047,0.2420760840177536,0.6154307126998901
99,13.40361213684082,0.23882658779621124,0.6218426823616028
100,13.36292839050293,0.24270904064178467,0.6295067071914673
101,13.658909797668457,0.26283183693885803,0.5905411243438721
102,13.360097885131836,0.24089877307415009,0.6048051714897156
103,13.500514030456543,0.259600967168808,0.5678791999816895
104,13.416858673095703,0.2485841065645218,0.548306405544281
105,13.352225303649902,0.24719679355621338,0.5436000227928162
106,13.28077507019043,0.2356995791196823,0.5630506873130798
107,13.359365463256836,0.2454404979944229,0.5476664900779724
