image_idx,psnr,ssim,lpips
0,28.60358238220215,0.9488525390625,0.17494389414787292
1,21.490917205810547,0.9013407826423645,0.2892446219921112
2,21.55377197265625,0.9126636385917664,0.20274728536605835
3,28.938697814941406,0.9427842497825623,0.23041287064552307
4,30.528316497802734,0.9447024464607239,0.2592342793941498
5,30.40030288696289,0.9579065442085266,0.16820482909679413
6,27.600830078125,0.9457616806030273,0.15488949418067932
7,30.065654754638672,0.9383975863456726,0.2962029278278351
8,30.96470069885254,0.9629034399986267,0.11046131700277328
9,28.317359924316406,0.9488692283630371,0.16722095012664795
10,29.076616287231445,0.9512100219726562,0.13354170322418213
11,26.745241165161133,0.786998987197876,0.2363697737455368
12,29.822364807128906,0.8716415762901306,0.15915554761886597
13,30.239622116088867,0.8789851069450378,0.16525335609912872
14,28.83415985107422,0.8158788681030273,0.23348842561244965
15,26.088703155517578,0.7567522525787354,0.25053054094314575
16,29.192171096801758,0.7875292897224426,0.251961886882782
17,31.24380111694336,0.8788652420043945,0.2507459223270416
18,27.310945510864258,0.8379290103912354,0.3124869465827942
19,30.10346221923828,0.9004471302032471,0.2475995421409607
20,29.43872833251953,0.8954818248748779,0.23389960825443268
21,25.317623138427734,0.8967676162719727,0.24720928072929382
22,26.259929656982422,0.8819711804389954,0.16786299645900726
23,26.81134033203125,0.8815390467643738,0.1679888516664505
24,28.586217880249023,0.8766489028930664,0.2320840060710907
25,29.869775772094727,0.9005619883537292,0.15621317923069
26,25.00339698791504,0.8512923121452332,0.21151629090309143
27,29.382205963134766,0.9097339510917664,0.21241436898708344
28,27.361474990844727,0.8839402198791504,0.23546059429645538
29,28.035200119018555,0.915743887424469,0.18926210701465607
30,28.06995964050293,0.9125071167945862,0.18194688856601715
31,28.011564254760742,0.9108791947364807,0.20900022983551025
32,29.509506225585938,0.9338042140007019,0.14192292094230652
33,29.787918090820312,0.8760760426521301,0.1652035415172577
34,31.92093849182129,0.8823032975196838,0.16722522675991058
35,31.150117874145508,0.9101811051368713,0.15359528362751007
36,30.18484115600586,0.903954029083252,0.14360710978507996
37,31.81769371032715,0.9193643927574158,0.13706110417842865
38,30.06822967529297,0.8698024153709412,0.17191024124622345
39,29.915843963623047,0.8652492165565491,0.1672147810459137
40,29.7774600982666,0.8710120320320129,0.16593292355537415
41,29.60911750793457,0.8084259629249573,0.27002498507499695
42,24.46891975402832,0.7575194239616394,0.2556910514831543
43,28.719030380249023,0.7896159291267395,0.2555055618286133
44,30.466350555419922,0.9358311295509338,0.22262616455554962
45,30.041791915893555,0.9427039623260498,0.2296825796365738
46,29.684946060180664,0.9242665767669678,0.2283274382352829
47,28.28145980834961,0.9131163954734802,0.23575900495052338
