image_idx,psnr,ssim,lpips
0,30.608675003051758,0.9393600821495056,0.27168843150138855
1,32.104248046875,0.9492342472076416,0.3257271945476532
2,31.79581642150879,0.8831362724304199,0.17126207053661346
3,33.06941223144531,0.9008244872093201,0.2662075459957123
4,29.422853469848633,0.9027373194694519,0.17496293783187866
5,30.310762405395508,0.9073610305786133,0.18061167001724243
6,31.42841148376465,0.8747639060020447,0.20129553973674774
7,31.77710723876953,0.8819429874420166,0.19478067755699158
8,34.22056198120117,0.9491674304008484,0.23847678303718567
9,34.14004135131836,0.9185495376586914,0.16661156713962555
10,31.846729278564453,0.82131427526474,0.2732546925544739
11,33.21929931640625,0.9061549305915833,0.1612517386674881
12,31.189632415771484,0.8628481030464172,0.2565276324748993
13,31.201431274414062,0.8344013690948486,0.28257086873054504
14,33.33149337768555,0.8871689438819885,0.16139362752437592
15,30.97487449645996,0.8542512059211731,0.2884718179702759
16,33.4602165222168,0.8896348476409912,0.18294282257556915
17,33.473228454589844,0.8975771069526672,0.18683463335037231
18,33.258087158203125,0.885750949382782,0.15182578563690186
19,30.32062530517578,0.8175016045570374,0.28254052996635437
20,31.0345516204834,0.8261851668357849,0.21707859635353088
21,34.02548599243164,0.898131787776947,0.15095283091068268
22,27.073945999145508,0.7504345774650574,0.2584311366081238
23,33.92607498168945,0.8744900822639465,0.1683332920074463
24,31.259098052978516,0.8267714381217957,0.22052320837974548
25,29.784912109375,0.780386209487915,0.2265116274356842
26,33.263343811035156,0.8698136806488037,0.16406551003456116
27,32.102230072021484,0.8405458331108093,0.18423812091350555
28,33.06249237060547,0.8713813424110413,0.17678523063659668
29,28.612314224243164,0.7682612538337708,0.247730553150177
30,33.31830978393555,0.8519355654716492,0.16952836513519287
31,29.065773010253906,0.7618453502655029,0.2335314154624939
32,30.266807556152344,0.7984011769294739,0.20707020163536072
33,33.34502029418945,0.8727982044219971,0.15775299072265625
34,26.992801666259766,0.7486186027526855,0.25622889399528503
35,32.46947479248047,0.8385545611381531,0.17549370229244232
36,28.907024383544922,0.7618827819824219,0.19577628374099731
37,32.92605209350586,0.8361294865608215,0.17707441747188568
38,26.720182418823242,0.7278534770011902,0.2507631480693817
39,30.516286849975586,0.8033975958824158,0.20922981202602386
40,32.127750396728516,0.8437285423278809,0.17687992751598358
41,23.619327545166016,0.7097415924072266,0.27420490980148315
42,32.287166595458984,0.8316004276275635,0.18355479836463928
43,28.398761749267578,0.7494776844978333,0.24505162239074707
44,27.223115921020508,0.7697248458862305,0.21149343252182007
45,26.339216232299805,0.707180917263031,0.2684382498264313
46,31.63313865661621,0.8272374272346497,0.17668068408966064
47,30.469118118286133,0.8038787841796875,0.206699937582016
48,28.751441955566406,0.7258431315422058,0.20572969317436218
49,32.13280487060547,0.8295863270759583,0.18282027542591095
50,27.166845321655273,0.7281947135925293,0.22726482152938843
51,28.687740325927734,0.772335946559906,0.2395131140947342
52,32.08632278442383,0.8403488993644714,0.1781073659658432
53,29.031457901000977,0.7391643524169922,0.24609868228435516
54,29.77916145324707,0.7700932025909424,0.24617886543273926
55,23.925609588623047,0.7215938568115234,0.207722008228302
56,32.72355270385742,0.8342124819755554,0.18526646494865417
57,25.072940826416016,0.7245267033576965,0.22921298444271088
58,30.407123565673828,0.8049149513244629,0.1952495574951172
59,31.42381477355957,0.8186085820198059,0.18870219588279724
60,24.753585815429688,0.6963751912117004,0.23321747779846191
61,31.397132873535156,0.8293907046318054,0.1831464320421219
62,29.2900447845459,0.7589852213859558,0.2195957601070404
63,31.096296310424805,0.8252410888671875,0.18594352900981903
64,22.445690155029297,0.6825124621391296,0.27227330207824707
65,31.45703887939453,0.8310802578926086,0.16238772869110107
66,31.145292282104492,0.7899153232574463,0.24418598413467407
67,23.473600387573242,0.7072240710258484,0.20846262574195862
68,31.673376083374023,0.8334548473358154,0.1839495301246643
69,24.73366355895996,0.7227701544761658,0.21396714448928833
70,30.13788604736328,0.7909768223762512,0.21700502932071686
71,29.832712173461914,0.8097922205924988,0.18338333070278168
72,30.073631286621094,0.8220929503440857,0.1709374338388443
73,30.047359466552734,0.7710812091827393,0.23037727177143097
74,27.92863655090332,0.7550891041755676,0.23112061619758606
75,30.194252014160156,0.8192312121391296,0.18428432941436768
76,28.178647994995117,0.7776240706443787,0.1901388019323349
77,31.623592376708984,0.8213747143745422,0.17043423652648926
78,30.158905029296875,0.7901255488395691,0.2219054251909256
79,28.58378791809082,0.7705869674682617,0.18415339291095734
80,29.37628746032715,0.8115484118461609,0.19137664139270782
81,30.29701042175293,0.7762160301208496,0.27386996150016785
82,28.243581771850586,0.7984728813171387,0.1787855625152588
83,24.35396957397461,0.7290390133857727,0.23836588859558105
84,30.183170318603516,0.8108170628547668,0.16037194430828094
85,29.81975746154785,0.7800365090370178,0.24123048782348633
86,29.041481018066406,0.7845378518104553,0.17031212151050568
87,25.09874153137207,0.7392470836639404,0.21794864535331726
88,30.100570678710938,0.7983410954475403,0.15638580918312073
89,29.874807357788086,0.7876445651054382,0.19117620587348938
